ActionGeo_Fullname (52)	ActionGeo_Lat (56)	ActionGeo_Long (57)	Actor1Name (6)	Actor1Geo_Fullname (36)	Actor2Name (16)	Actor2Geo_Fullname (44)	EventCode (26)	QuadClass  (29)	AvgTone (34)	SourceURL (60)
Zimbabwe	-9.08528	-78.5783	ZIMBABWE	Zimbabwe	NEWS EDITOR	Zimbabwe	Express intent to meet or negotiate	Material Conflict	7.3529	http://forextv.com/equities/equities-bolster-fmhl-earnings-the-zimbabwe-independent/
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	"Kentucky, United States"	UNITED KINGDOM	United Kingdom	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	2.3834	99.2177	KENTUCKY	United Kingdom	UNITED KINGDOM	United Kingdom	Cooperate economically	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	"Kentucky, United States"	UNITED KINGDOM	"Kentucky, United States"	Praise or endorse	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	34.2019	72.0525	KENTUCKY	United Kingdom	UNITED KINGDOM	"Highland Heights, Kentucky, United States"	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	34.2019	72.0525	UNITED KINGDOM	United Kingdom	UNIVERSITY	United Kingdom	"Consult, not specified below"	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	KENTUCKY	"Kentucky, United States"	Express intent to meet or negotiate	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
United Kingdom	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	KENTUCKY	United Kingdom	Express intent to meet or negotiate	Material Conflict	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED KINGDOM	United Kingdom	UNITED STATES	"Kentucky, United States"	Express intent to meet or negotiate	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
"Kentucky, United States"	-9.08528	-78.5783	UNITED STATES	"Kentucky, United States"	UNITED KINGDOM	"Highland Heights, Kentucky, United States"	Express intent to meet or negotiate	Verbal Cooperation	6.8027	http://uknow.uky.edu/campus-news/james-graham-brown-foundation-awards-large-gift-uk-leads
